timestamp,cam_x,cam_y,cam_theta_deg,gz_x,gz_y,gz_theta_deg,dx_error,dy_error,dxy_error,dtheta_error_deg
1786277453.6379957,0.04097161758064576,0.43883968504953325,-7.015638998488961,0.05677104225186458,0.11946981838268567,0.407297529638462,-0.015799424671218816,0.3193698666668476,0.3197604315026197,-7.422936528127423
1786277454.6390722,0.04097161706197303,0.4388396846191322,-7.015638998488961,0.05677104225186458,0.11946981838268567,0.407297529638462,-0.015799425189891546,0.31936986623644653,0.31976043109837204,-7.422936528127423
1786277455.6378665,0.04097161654330031,0.43883968418873115,-7.015638998488961,0.05677104225186458,0.11946981838268567,0.407297529638462,-0.01579942570856427,0.3193698658060455,0.3197604306941244,-7.422936528127423
1786277456.6374736,0.040971616067850304,0.43883968379419686,-7.015638998488961,0.05677104225186458,0.11946981838268567,0.407297529638462,-0.015799426184014274,0.3193698654115112,0.3197604303235641,-7.422936528127423
1786277457.6374807,0.04097161554917758,0.4388396833637958,-7.015638998488961,0.05677104225186458,0.11946981838268567,0.407297529638462,-0.015799426702686997,0.31936986498111014,0.31976042991931647,-7.422936528127423
1786277458.6377985,0.04097161503050485,0.43883968293339476,-7.015638998488961,0.05677104225186458,0.11946981838268567,0.407297529638462,-0.015799427221359727,0.3193698645507091,0.31976042951506883,-7.422936528127423
1786277459.637466,0.04097161451183212,0.4388396825029937,-7.015638998488961,0.05677104225186458,0.11946981838268567,0.407297529638462,-0.015799427740032457,0.31936986412030804,0.31976042911082125,-7.422936528127423
1786277460.6375477,0.04097161403638212,0.4388396821084594,-7.015638998488961,0.05677104225186458,0.11946981838268567,0.407297529638462,-0.015799428215482456,0.31936986372577375,0.3197604287402609,-7.422936528127423
1786277461.638011,0.040971613560932124,0.4388396817139251,-7.015638998488961,0.05677104225186458,0.11946981838268567,0.407297529638462,-0.015799428690932454,0.31936986333123946,0.3197604283697006,-7.422936528127423
1786277462.639185,0.040971613042259394,0.4388396812835241,-7.015638998488961,0.05677104225186458,0.11946981838268567,0.407297529638462,-0.015799429209605184,0.3193698629008384,0.319760427965453,-7.422936528127423
1786277463.6376204,0.04097161256680939,0.4388396808889898,-7.015638998488961,0.05677104225186458,0.11946981838268567,0.407297529638462,-0.01579942968505519,0.3193698625063041,0.31976042759489265,-7.422936528127423
1786277464.637666,0.040971612048136666,0.43883968045858873,-7.015638998488961,0.05677104225186458,0.11946981838268567,0.407297529638462,-0.015799430203727913,0.31936986207590307,0.31976042719064507,-7.422936528127423
1786277465.6378558,0.040971611529463936,0.4388396800281877,-7.015638998488961,0.05677104225186458,0.11946981838268567,0.407297529638462,-0.015799430722400643,0.319369861645502,0.31976042678639743,-7.422936528127423
1786277466.63795,0.040971611010791206,0.43883967959778664,-7.015638998488961,0.05677104225186458,0.11946981838268567,0.407297529638462,-0.015799431241073372,0.31936986121510097,0.31976042638214985,-7.422936528127423
1786277467.6377726,0.040971610492118476,0.4388396791673856,-7.015638998488961,0.05677104225186458,0.11946981838268567,0.407297529638462,-0.015799431759746102,0.3193698607846999,0.3197604259779022,-7.422936528127423
1786277468.6376355,0.040971609973445754,0.43883967873698454,-7.015638998488961,0.05677104225186458,0.11946981838268567,0.407297529638462,-0.015799432278418825,0.3193698603542989,0.3197604255736546,-7.422936528127423
